MILP, Tercio, Search
4, 2.20995457313579, 2.2099545731363186, 2.2099545731363186
4, 3.220343319460727, 3.220343319460727, 3.220343319460727
4, 2.6481142488147213, 2.6481142488147222, 2.6481142488147222
4, 4.30958612180459, 4.309586121804597, 4.309586121804597
4, 5.705654192743538, 5.705654192743538, 5.705654192743538
4, 4.280999660491943, 4.280999699943948, 4.280999699943948
4, 5.209417893366194, 5.209417893366208, 5.209417893366208
4, 4.108840752838548, 4.108840752838574, 4.108840752838574
4, 5.179423128689985, 5.179423128690007, 5.179423128690007
4, 3.8970549768983043, 3.8970549768983043, 3.8970549768983043
4, 3.7978296279907227, 3.7978296852567226, 3.7978296852567226
4, 2.769873831325886, 2.7698738313258877, 2.7698738313258877
4, 1.6537588658385236, 2.782315791382098, 1.6537588658385236
4, 3.1952524123725117, 3.1952524123725112, 3.1952524123725112
4, 6.157363951125033, 6.15736395112509, 6.15736395112509
4, 4.621566203400198, 4.6215662034008425, 4.6215662034008425
4, 6.669002922524325, 6.669002922524325, 6.669002922524325
4, 2.0579950129310696, 2.0579950129310696, 2.0579950129310696
4, 3.260882672434815, 3.2608826724348163, 3.2608826724348163
4, 3.3090970905389074, 3.309097090538909, 3.309097090538909
4, 1.9770455679640748, 1.9770455679640762, 1.9770455679640762
4, 9.50915838849996, 9.50915838849996, 9.50915838849996
4, 2.319502857634347, 2.3195028576351326, 2.3195028576351326
4, 5.064710333724874, 5.064710333724874, 5.064710333724874
4, 5.165025105223512, 5.165025105223513, 5.165025105223513
4, 3.6246654987335205, 3.6246655927488978, 3.6246655927488978
4, 2.970909132148374, 2.9709091321483747, 2.9709091321483747
4, 3.2626842382424535, 3.2626842382424597, 3.2626842382424597
4, 3.059473866890299, 3.05947386689034, 3.05947386689034
4, 3.8222663552639755, 4.0061463721743955, 4.0061463721743955
4, 1.7707334023704564, 1.7707334023704586, 1.7707334023704586
4, 2.0713985629429623, 2.071398562942972, 2.071398562942972
4, 2.4738876819610596, 2.4738877169490894, 2.4738877169490894
4, 4.522443951197753, 6.746328508801982, 4.522443951198394
4, 5.519545585833344, 5.519545585833377, 5.519545585833377
4, 6.43812955305148, 6.438129553051541, 6.438129553051541
4, 4.776914465575315, 4.776914465575315, 4.776914465575315
4, 1.995100968317224, 1.99510096831859, 1.99510096831859
4, 2.7871576732392476, 2.7871576732392502, 2.7871576732392502
4, 2.769087833642957, 2.76908783364296, 2.76908783364296
4, 4.523904305179247, 4.523904305179251, 4.523904305179251
4, 5.892902906391291, 5.892902906391307, 5.892902906391307
4, 2.6311409170928153, 2.631140917092816, 2.631140917092816
4, 3.954194200809787, 3.9541942008097895, 3.9541942008097895
4, 4.2813011214965435, 4.281301121496547, 4.281301121496547
4, 3.789460096230853, 3.789460096230853, 3.789460096230853
4, 4.539415411425698, 6.073084499146111, 4.539415411425698
4, 3.873567171408478, 3.8735671714084923, 3.8735671714084923
4, 4.782408237457275, 4.782408342322173, 4.782408342322173
4, 4.420476892380305, 4.420476892380315, 4.420476892380315
4, 4.300807952880859, 4.300808011276043, 4.300808011276043
4, 3.471919829499721, 3.4719198294997256, 3.4719198294997256
4, 7.057627123727953, 7.057627123727966, 7.057627123727966
4, 3.47539114280053, 3.4753911428014432, 3.4753911428014432
4, 6.710078515362904, 6.710078515362927, 6.710078515362927
4, 3.9188196659088135, 3.9188196817385466, 3.9188196817385466
4, 3.836053766125473, 3.836053766125474, 3.836053766125474
4, 4.586407423019409, 4.586407444134045, 4.586407444134045
4, 4.704427436772271, 4.704427436772301, 4.704427436772301
4, 4.087600519094244, 4.087600519094931, 4.087600519094931
4, 2.205522279792886, 2.2055222797944793, 2.2055222797944793
4, 6.915042593476889, 6.915042593476963, 6.915042593476963
4, 3.586518031932689, 3.586518031932689, 3.586518031932689
4, 3.5548877891225774, 3.554887789122587, 3.554887789122587
4, 1.6893166483880093, 1.6893166483880129, 1.6893166483880129
4, 4.540316225515332, 4.540316225515338, 4.540316225515338
4, 7.05876189373196, 8.078586744168268, 7.05876189373196
4, 2.89968791594432, 2.89968791594432, 2.89968791594432
4, 3.432813184755969, 3.432813184755982, 3.432813184755982
4, 4.361342673544467, 4.361342673546139, 4.361342673546139
4, 2.450526183624844, 2.450526183624847, 2.450526183624847
4, 4.984667023734448, 4.984667023735121, 4.984667023735121
4, 6.610578063060644, 6.610578063060644, 6.610578063060644
4, 3.104800177146398, 3.1048001771464153, 3.1048001771464153
4, 3.5232868079050754, 3.5232868079059885, 3.5232868079059885
4, 3.9552489618557054, 3.9552489618557054, 3.9552489618557054
4, 4.181684202376579, 4.181684202376585, 4.181684202376585
