MILP, Tercio, Search
4, 3.8669867515563965, 3.866986826263748, 3.866986826263748
4, 2.660381824122034, 2.6603818241220485, 2.6603818241220485
4, 3.8732012081584433, 3.87320120815913, 3.87320120815913
4, 5.644405859357916, 5.644405859357918, 5.644405859357918
4, 6.296987602898524, 6.296987602898527, 6.296987602898527
4, 3.7431526427385267, 5.062207267743053, 3.7431526427385364
4, 3.985923609345927, 3.985923609345937, 3.985923609345937
4, 1.7763996920615417, 1.7763996920615417, 1.7763996920615417
4, 3.115294132850707, 3.115294132851165, 3.115294132851165
4, 2.4518346229068113, 2.4518346229068113, 2.4518346229068113
4, 5.0371851586639504, 5.037185158663986, 5.037185158663986
4, 2.5648550434018835, 2.564855043401886, 2.564855043401886
4, 7.578318693673873, 7.578318693673934, 7.578318693673934
4, 5.650438014047443, 5.650438014047451, 5.650438014047451
4, 4.306976609415079, 4.306976609415079, 4.306976609415079
4, 6.683788200318356, 6.683788200318378, 6.683788200318378
4, 2.477868965829095, 2.4778689658290967, 2.4778689658290967
4, 4.932821803160326, 4.932821803160431, 4.932821803160431
4, 4.985281085713518, 4.985281085713518, 4.985281085713518
4, 3.332149350564513, 3.332149350564535, 3.332149350564535
4, 3.0042775879312784, 3.0042775879312784, 3.0042775879312784
4, 2.4541432716496887, 2.4541432716496954, 2.4541432716496954
4, 4.062644439211367, 4.062644439211369, 4.062644439211369
4, 2.9585011718054117, 2.9585011718054304, 2.9585011718054304
4, 5.351883499412441, 5.351883499412445, 5.351883499412445
4, 3.142213468545892, 4.130957619378369, 4.130957619378369
4, 5.885387007676033, 7.611598046910381, 5.8853870076760355
4, 6.43064530767332, 6.430645307673368, 6.430645307673368
4, 3.6248560229083138, 3.6248560229083138, 3.6248560229083138
4, 4.202585372282552, 4.202585372282554, 4.202585372282554
4, 3.514855087770629, 3.514855087770629, 3.514855087770629
4, 2.0505158974039723, 2.0505158974044306, 2.0505158974044306
4, 5.822313939163957, 5.822313939163957, 5.822313939163957
4, 2.377036727580491, 2.377036727580492, 2.377036727580492
4, 3.5846700137688092, 3.5846700137688146, 3.5846700137688146
4, 3.361369162914758, 3.361369162914758, 3.361369162914758
4, 2.3184007056066993, 2.318400705606702, 2.318400705606702
