MILP, Rearrange, Tercio, Search
10, 12.162450922709638, 15.055105412425899, 12.856032084754297, 12.16245092270964
10, 16.93029413998521, 20.46193286335936, 16.930294144243803, 16.930294144243803
10, 9.561145191536921, 11.86666964168204, 10.844831880608316, 9.561145192593134
10, 13.553798274491774, 17.267859663771805, 17.267859663771805, 14.751831081640585
10, 10.679578542251786, 11.116781693532658, 12.826133034572134, 10.679578543419773
10, 13.918513605342044, 15.577904944984857, 15.577904944984857, 13.919987375096136
10, 12.794451459688524, 17.354950421955525, 16.615183232734033, 15.71185919002269
10, 14.152473362822414, 16.508596037880913, 18.803347674983662, 16.508596037880913
10, 14.586100892564511, 18.03545553016903, 16.349865772122435, 14.586100892564511
10, 15.59745978210597, 18.84379617680398, 17.071275620014926, 15.597459782105952
10, 15.850307299639969, 17.484663836519278, 17.484663836519278, 17.484663836519278
10, 12.833357599156757, 14.09991073052742, 14.09991073052742, 14.09991073052742
10, 11.965383377770793, 13.712526040341848, 13.712526040341848, 11.965383377770792
10, 10.704697927502279, 10.704697928677243, 11.368833423631356, 10.704697928677243
10, 10.984678004213878, 15.019030678860545, 15.019030678860545, 15.019030678860545
10, 10.7009300885535, 11.208660949594321, 11.432722480962738, 11.208660949594321
10, 17.821157745818358, 18.36024764476566, 19.28848397838917, 17.878614880904113
10, 15.417855626235891, 17.37650475519021, 17.37650475519021, 15.417855626235891
10, 11.910270105958201, 15.451589951457343, 15.451589951457343, 15.451589951457343
10, 14.121937011197327, 16.330670785681015, 16.330670785681015, 15.287518770623125
10, 18.499376030530374, 18.49937606192501, 18.49937606192501, 18.49937606192501
10, 9.144957528328243, 12.870354320832762, 13.274543639414755, 11.562986452148579
10, 16.446455175528474, 19.79483548070378, 16.446455175528502, 16.446455175528502
10, 13.892861521991387, 15.562414929894313, 15.562414929894313, 14.273814443542618
10, 16.369593343704544, 16.36959334370467, 16.36959334370467, 16.36959334370467
10, 10.613995719208587, 11.564824759987317, 10.613995719208585, 10.613995719208585
10, 15.231987673425262, 16.281670766209775, 15.231987673425255, 15.231987673425255
10, 16.665887067490633, 16.665887067491305, 16.665887067491305, 16.665887067491305
10, 9.764655685496887, 11.11576456499769, 12.191642559462144, 9.764655685496885
10, 10.085095811635584, 12.998103901395968, 10.359284107460365, 10.304322156475028
10, 12.65747355042709, 15.99718734168555, 15.99718734168555, 12.657473550427557
10, 11.003819928723038, 14.344593814725352, 14.114818925372454, 14.114818925372454
10, 7.4771462294254665, 7.574938358425779, 9.020285446116958, 7.477146229425468
10, 11.714354826995201, 12.654205424863022, 12.654205424863022, 12.654205424863022
10, 11.56001899219934, 13.76588786840327, 12.471248470691904, 11.560018992199383
10, 17.44233414739236, 18.378963856876446, 18.219065131457903, 18.219065131457903
10, 11.815442020904083, 13.143534253378357, 13.952077052606764, 11.815442020904069
10, 12.382858731495585, 13.687045651270724, 13.906982324580756, 12.382858731495586
10, 12.724377277683747, 14.448761663980015, 15.738791883699369, 14.448761663980015
10, 9.886470666042946, 11.185500888091157, 11.185500888091157, 11.185500888091157
10, 10.717918857295597, 11.3789893691497, 11.3789893691497, 11.3789893691497
10, 9.61122124080371, 9.611221241865348, 9.611221241865348, 9.611221241865346
10, 10.13170318521475, 11.252834984837747, 11.252834984837747, 10.131703185214775
10, 11.376382174533715, 16.955239647415894, 17.59947545169253, 16.955239647415894
10, 10.069481393214264, 13.37217988243007, 14.191986611789783, 13.37217988243007
10, 9.244804296996087, 9.263325276775358, 9.263325276775358, 9.263325276775358
10, 10.876210520665063, 12.465454408227211, 12.465454408227211, 10.876210520665065
10, 12.413377607113427, 12.978182719616857, 12.978182719616857, 12.978182719616857
10, 14.762405954825056, 16.859020741700682, 16.859020741700682, 16.859020741700682
10, 16.658285626334916, 19.28899735076979, 19.288997350769794, 16.65828562633484
10, 8.517175218598748, 10.53242102016023, 9.993337094489574, 10.425459936831318
10, 9.615357512569322, 16.20386739315094, 14.71195280969818, 13.293171531556778
10, 24.178064538279106, 24.62265534234253, 24.908555440733803, 24.178064538279106
10, 13.478785463861515, 14.455166555285322, 14.455166555285322, 14.455166555285322
10, 11.704803040931294, 14.283608266529097, 12.793292916709643, 11.704803040931294
10, 10.778090863019814, 11.908414578682294, 11.908414578682294, 10.778090863019813
10, 16.981055308535005, 20.63143140239866, 17.46640423308931, 16.981055308535012
10, 11.771987031861974, 12.523313350655908, 12.523313350655908, 11.887671205145562
10, 14.449261728535994, 15.84217797303696, 14.449261728536044, 14.56947457621689
10, 14.17481492999949, 16.302716427245446, 16.302716427245446, 14.174814930016694
10, 10.270203743658449, 11.97639987837582, 12.12199721242502, 10.270203743658433
10, 16.061358374941488, 19.841907919718874, 19.841907919718874, 19.841907919718874
10, 11.623321535467076, 11.623321536729387, 13.888055705010993, 11.623321536729387
10, 13.394336906634642, 14.054510645768785, 14.054510645768785, 13.394336906634644
10, 10.254052988325828, 10.840735092307305, 10.840735092307305, 10.840735092307305
10, 18.126874634573618, 18.199112450775107, 18.199112450775107, 18.12687463457369
10, 14.973678612894352, 16.05544536141721, 18.260409370403565, 16.05544536141721
10, 11.384168992430336, 13.570678598322955, 12.639145494395683, 11.384168993668801
10, 13.996931249103728, 15.145373559896285, 16.21847386606854, 13.99693125060347
10, 18.453951427498605, 21.185029673367367, 21.185029673367367, 20.274785498689305
10, 10.509784243788014, 10.509784244942457, 11.984384310577141, 10.509784244942457
10, 13.567055058050647, 16.996060664540266, 16.99606066454027, 16.996060664540266
10, 12.814291553585528, 13.617497458164395, 13.617497458164395, 13.617497458164394
10, 17.16918602186382, 17.16918602187085, 17.16918602187085, 17.16918602187085
10, 13.0859588812381, 16.782843482874682, 17.60429427134092, 14.86968701279644
