ExhaustiveStarScheduler, TercioScheduler, 
2, 21.114332539437434, 21.114332539437434, 
2, 20.306172712793206, 20.306172712793206, 
2, 20.511007557734338, 20.511007557734338, 
2, 20.631022760543882, 20.631022760543882, 
2, 20.267095671881176, 20.267095671881176, 
2, 20.87653500903292, 20.87653500903292, 
2, 20.688428574798095, 20.688428574798095, 
2, 20.724961753554297, 20.724961753554297, 
2, 21.60215485047671, 21.60215485047671, 
2, 20.931868945260334, 20.931868945260334, 
2, 20.634633273352478, 20.634633273352478, 
2, 20.515885328970924, 20.515885328970924, 
2, 20.87213817146894, 20.87213817146894, 
2, 20.751185372693758, 20.751185372693758, 
2, 20.904377628294053, 20.904377628294053, 
2, 21.512042596450513, 21.512042596450513, 
2, 21.250823956944643, 21.250823956944643, 
2, 20.974065639107714, 20.974065639107714, 
2, 21.169856849150165, 21.169856849150165, 
2, 20.984141402579553, 20.984141402579553, 
2, 20.576065629265077, 20.576065629265077, 
2, 21.07693514770566, 21.07693514770566, 
2, 20.988283559706787, 20.988283559706787, 
2, 20.34598433962723, 20.34598433962723, 
2, 20.740636014338925, 20.740636014338925, 
2, 21.156465504209745, 21.156465504209745, 
2, 21.069465925482355, 21.069465925482355, 
2, 21.10675788758121, 21.10675788758121, 
2, 20.53440646124389, 20.53440646124389, 
2, 20.22573580692542, 20.22573580692542, 
2, 20.674189736914187, 20.674189736914187, 
2, 20.64418848828322, 20.64418848828322, 
2, 21.052790557865208, 21.052790557865208, 
2, 21.044586242921987, 21.044586242921987, 
2, 20.704272539633486, 20.704272539633486, 
2, 20.716542618207665, 20.716542618207665, 
2, 20.552389557283412, 20.552389557283412, 
2, 20.31896976121275, 20.31896976121275, 
2, 20.759347739448398, 20.759347739448398, 
2, 20.673207311633867, 20.673207311633867, 
2, 21.03189035808211, 21.03189035808211, 
2, 20.9609429718694, 20.9609429718694, 
2, 21.5431326962846, 21.5431326962846, 
2, 20.97064418255367, 20.97064418255367, 
2, 20.656950445118422, 20.656950445118422, 
2, 20.67253768744122, 20.67253768744122, 
2, 21.656527304026497, 21.656527304026497, 
2, 20.842099890823235, 20.842099890823235, 
2, 20.948441619272902, 20.948441619272902, 
2, 21.30008054570871, 21.30008054570871, 
2, 21.48040728525248, 21.48040728525248, 
2, 20.91305201664057, 20.91305201664057, 
2, 20.816430370714873, 20.816430370714873, 
2, 20.476771030986622, 20.476771030986622, 
2, 21.284936958259113, 21.284936958259113, 
2, 21.482353231629816, 21.482353231629816, 
2, 21.061353760584737, 21.061353760584737, 
2, 20.765259636988073, 20.765259636988073, 
2, 20.633501113459072, 20.633501113459072, 
2, 21.037096289863598, 21.037096289863598, 
2, 21.64979862852273, 21.64979862852273, 
2, 20.300225932831054, 20.300225932831054, 
2, 20.63751164170609, 20.63751164170609, 
2, 20.67647832164536, 20.67647832164536, 
2, 21.18043958459802, 21.18043958459802, 
2, 20.930956696100203, 20.930956696100203, 
2, 20.787843448085766, 20.787843448085766, 
2, 20.847948162968247, 20.847948162968247, 
2, 20.401616976595058, 20.401616976595058, 
2, 20.863924202370768, 20.863924202370768, 
2, 20.594696924799052, 20.594696924799052, 
2, 20.163674848613574, 20.163674848613574, 
2, 20.7322517666895, 20.7322517666895, 
