MILPScheduler, ExhaustiveStarScheduler, TercioScheduler, 
2, 20.45583225215339, 20.455832252153428, 20.455832252153428, 
2, 20.677336814698243, 20.677336814698258, 20.677336814698258, 
2, 21.246994099135545, 21.246994099135545, 21.246994099135545, 
2, 20.597738203485807, 20.597738203485807, 20.597738203485807, 
2, 20.716874092767544, 20.71687409276758, 20.71687409276758, 
2, 20.738748884737177, 20.73874888473722, 20.73874888473722, 
2, 21.598631322837768, 21.598631322837797, 21.598631322837797, 
2, 20.769968283118246, 20.769968283118267, 20.769968283118267, 
2, 20.901888692662656, 20.901888692662684, 20.901888692662684, 
2, 20.526257300057733, 20.526257300057758, 20.526257300057758, 
2, 20.950084830994584, 20.950084830994612, 20.950084830994612, 
2, 21.062781959865813, 21.062781959865816, 21.062781959865816, 
2, 20.99281924331422, 20.992819243314248, 20.992819243314248, 
2, 21.1367379864455, 21.13673798644554, 21.13673798644554, 
2, 20.737990487852056, 20.737990487852056, 20.737990487852056, 
2, 21.235395468155254, 21.235395468155275, 21.235395468155275, 
2, 20.76347764979414, 20.763477649794165, 20.763477649794165, 
2, 21.03782987515122, 21.03782987515125, 21.03782987515125, 
2, 20.683202002944636, 20.683202002944654, 20.683202002944654, 
2, 21.040715515379212, 21.04071551537924, 21.04071551537924, 
2, 21.014692691303306, 21.01469269130336, 21.01469269130336, 
2, 20.34818142921536, 20.34818142921539, 20.34818142921539, 
2, 20.566181578709084, 20.566181578709106, 20.566181578709106, 
2, 20.269675254821777, 20.26967526643718, 20.26967526643718, 
2, 20.84826448836717, 20.848264488367203, 20.848264488367203, 
2, 21.218217372894287, 21.2182174871469, 21.2182174871469, 
2, 20.15731906890869, 20.157319162631566, 20.157319162631566, 
2, 21.43189825083282, 21.43189825083282, 21.43189825083282, 
2, 20.5740943592734, 20.5740943592734, 20.5740943592734, 
2, 20.980529968278812, 20.98052996827883, 20.98052996827883, 
2, 20.71767961770772, 20.717679617707745, 20.717679617707745, 
2, 20.59554245220481, 20.59554245220481, 20.59554245220481, 
2, 20.95964933674653, 20.959649336746555, 20.959649336746555, 
2, 20.800268411636353, 20.800268525969955, 20.800268525969955, 
2, 20.823680376517803, 20.823680376517842, 20.823680376517842, 
2, 20.848237435792306, 20.848237435792328, 20.848237435792328, 
2, 21.615618430534226, 21.615618430534234, 21.615618430534234, 
2, 21.82553098473953, 21.825530984739558, 21.825530984739558, 
2, 20.59319495571907, 20.593194955719078, 20.593194955719078, 
2, 20.91720174774087, 20.91720174774087, 20.91720174774087, 
2, 21.134311960879874, 21.134311960879913, 21.134311960879913, 
2, 20.837754202085257, 20.83775420208529, 20.83775420208529, 
2, 21.23558723727517, 21.23558723727517, 21.23558723727517, 
2, 20.42568814755743, 20.425688147557473, 20.425688147557473, 
2, 21.56392904091529, 21.563929040915312, 21.563929040915312, 
2, 21.176124973614897, 21.176124973614897, 21.176124973614897, 
2, 21.172173265667208, 21.172173265667226, 21.172173265667226, 
2, 21.293374302290488, 21.293374302290516, 21.293374302290516, 
2, 20.878783271074525, 20.878783271074553, 20.878783271074553, 
2, 21.517868688989758, 21.51786868898977, 21.51786868898977, 
2, 21.311611890792847, 21.3116119327603, 21.3116119327603, 
2, 20.63675332424729, 20.636753324247316, 20.636753324247316, 
2, 20.877440077764597, 20.877440077764653, 20.877440077764653, 
2, 20.238631853164005, 20.238631853164115, 20.238631853164115, 
2, 21.251683790608833, 21.25168379060887, 21.25168379060887, 
2, 21.169524494976237, 21.169524494976276, 21.169524494976276, 
2, 20.640810878000543, 20.64081087800058, 20.64081087800058, 
2, 20.973728908076705, 20.973728908076733, 20.973728908076733, 
2, 20.422740716649365, 20.422740716649365, 20.422740716649365, 
2, 20.49576626651083, 20.495766266510863, 20.495766266510863, 
2, 20.968321499925796, 20.968321499925832, 20.968321499925832, 
2, 20.33651468375794, 20.33651468375796, 20.33651468375796, 
2, 21.12697839204567, 21.1269783920457, 21.1269783920457, 
2, 21.546414563411652, 21.546414563411687, 21.546414563411687, 
2, 20.459799651164214, 20.45979965116425, 20.45979965116425, 
2, 20.75870018829967, 20.758700188299688, 20.758700188299688, 
2, 21.549945111120458, 21.549945111120497, 21.549945111120497, 
2, 20.407478164364225, 20.40747816436425, 20.40747816436425, 
2, 21.632135068789047, 21.632135068789047, 21.632135068789047, 
2, 20.6805557729643, 20.68055577296432, 20.68055577296432, 
2, 20.667873329433554, 20.667873329433554, 20.667873329433554, 
2, 21.792604552478565, 21.792604552478593, 21.792604552478593, 
2, 20.790412564826422, 20.79041256482646, 20.79041256482646, 
2, 20.349768688697516, 20.349768688697537, 20.349768688697537, 
2, 21.096682064247293, 21.09668206424732, 21.09668206424732, 
2, 20.907382964353925, 20.907382964353964, 20.907382964353964, 
2, 20.2199996622797, 20.21999966227975, 20.21999966227975, 
2, 21.353578768782196, 21.35357876878222, 21.35357876878222, 
2, 20.67656597937101, 20.67656597937101, 20.67656597937101, 
2, 20.2952575298959, 20.2952575298959, 20.2952575298959, 
2, 21.551850485602696, 21.551850485602735, 21.551850485602735, 
2, 20.578296444379323, 20.57829644437936, 20.57829644437936, 
2, 20.62106724395837, 20.62106724395839, 20.62106724395839, 
2, 20.665345907211304, 20.665346014195855, 20.665346014195855, 
2, 20.875653943591, 20.87565394359104, 20.87565394359104, 
2, 20.697868022119287, 20.697868022119316, 20.697868022119316, 
2, 21.372241635173012, 21.372241635173033, 21.372241635173033, 
2, 20.863368062064474, 20.863368062064495, 20.863368062064495, 
2, 20.95688222054196, 20.95688222054198, 20.95688222054198, 
2, 20.824266277698786, 20.82426627769881, 20.82426627769881, 
2, 21.03154428182072, 21.031544281820757, 21.031544281820757, 
2, 20.66724912221315, 20.667249122213168, 20.667249122213168, 
2, 21.85425302641332, 21.85425302641337, 21.85425302641337, 
2, 20.657880907916848, 20.65788090791687, 20.65788090791687, 
2, 20.938379054847797, 20.938379054847825, 20.938379054847825, 
2, 21.012042775708707, 21.012042775708707, 21.012042775708707, 
2, 20.968318951665673, 20.968318951665708, 20.968318951665708, 
2, 21.137909422294967, 21.13790942229499, 21.13790942229499, 
2, 20.649467618120806, 20.649467618120838, 20.649467618120838, 
2, 20.824242724750633, 20.824242724750633, 20.824242724750633, 
3, 30.625493142374765, 30.625493142375035, 30.625493142375035, 
3, 32.00967305441141, 32.00967305441135, 32.00967305441135, 
3, 20.110856733204102, 20.110856733204145, 20.110856733204145, 
3, 31.822585179799, 31.822585179799, 31.822585179799, 
3, 22.34520560305323, 22.345205603053344, 22.345205603053344, 
3, 31.259307496372607, 31.259307496372614, 31.259307496372614, 
3, 31.015533931655863, 31.015533931655867, 31.015533931655867, 
3, 31.49082670502893, 31.49082670502912, 31.49082670502912, 
3, 31.81797303118535, 31.817973031185346, 31.817973031185346, 
3, 20.725687245756827, 20.72568724575686, 20.72568724575686, 
3, 21.39654054765018, 21.39654054765021, 21.39654054765021, 
3, 31.75555402200886, 31.75555402200886, 31.75555402200886, 
3, 20.8088511646351, 20.808851164635115, 20.808851164635115, 
3, 31.468346407393923, 31.468346407394097, 31.468346407394097, 
3, 31.57587081354287, 31.575870813542867, 31.575870813542867, 
3, 21.457103878412383, 21.457103878412422, 21.457103878412422, 
3, 30.9135456264791, 30.9135456264791, 30.9135456264791, 
3, 30.81313181308937, 30.81313181308937, 30.81313181308937, 
3, 31.848337838711423, 31.848337838711423, 31.848337838711423, 
3, 20.98981907021466, 20.98981907021468, 20.98981907021468, 
3, 23.258668422698975, 23.25866845816651, 23.25866845816651, 
3, 30.875469401010758, 30.87546940101076, 30.87546940101076, 
3, 22.088985919952393, 22.088985944139175, 22.088985944139175, 
3, 31.108766426905703, 31.108766426905703, 31.108766426905703, 
3, 31.221285960681, 31.221285960681026, 31.221285960681026, 
3, 23.31354807729729, 23.31354807729729, 23.31354807729729, 
3, 20.93652839473684, 20.93652839473684, 20.93652839473684, 
3, 31.110822943938736, 31.110822943938793, 31.110822943938793, 
3, 31.80043439539673, 31.800434395396852, 31.800434395396852, 
3, 31.39507203098521, 31.39507203098521, 31.39507203098521, 
3, 21.44214993508283, 21.44214993508283, 21.44214993508283, 
3, 30.71591596496082, 30.715915964960956, 30.715915964960956, 
3, 31.898581878284578, 31.898581878284695, 31.898581878284695, 
3, 30.836744803160588, 30.836744803160585, 30.836744803160585, 
3, 30.88068433596221, 30.880684335962208, 30.880684335962208, 
