ExhaustiveStarScheduler, TercioScheduler, 
2, 21.669134507633114, 21.669134507633114, 
2, 21.0707110664134, 21.0707110664134, 
2, 20.986691018268104, 20.986691018268104, 
2, 20.903422946191, 20.903422946191, 
2, 21.159145887339626, 21.159145887339626, 
2, 20.803727575377092, 20.803727575377092, 
2, 20.969284417964644, 20.969284417964644, 
2, 21.18956420821469, 21.18956420821469, 
2, 21.714737601198827, 21.714737601198827, 
2, 21.238545833639108, 21.238545833639108, 
2, 20.923132912397733, 20.923132912397733, 
2, 21.084403114217004, 21.084403114217004, 
2, 20.49412494892664, 20.49412494892664, 
2, 20.443492716184387, 20.443492716184387, 
2, 21.15111863611249, 21.15111863611249, 
2, 20.978709825486426, 20.978709825486426, 
2, 21.585497169537856, 21.585497169537856, 
2, 20.4744555420679, 20.4744555420679, 
2, 21.176167390768022, 21.176167390768022, 
2, 20.787111083856196, 20.787111083856196, 
2, 21.667234988128595, 21.667234988128595, 
2, 21.328305322652994, 21.328305322652994, 
2, 20.686622160020104, 20.686622160020104, 
2, 20.926552999124603, 20.926552999124603, 
2, 20.256109300937332, 20.256109300937332, 
2, 20.602876864210014, 20.602876864210014, 
2, 21.80192916782682, 21.80192916782682, 
2, 21.899552273075667, 21.899552273075667, 
2, 20.16977799602322, 20.16977799602322, 
2, 21.750078155589094, 21.750078155589094, 
2, 20.658636405671277, 20.658636405671277, 
2, 21.238090295216416, 21.238090295216416, 
2, 21.324631973906126, 21.324631973906126, 
2, 20.8827346089249, 20.8827346089249, 
2, 20.316704658503767, 20.316704658503767, 
2, 21.335468629922055, 21.335468629922055, 
2, 20.871407273280624, 20.871407273280624, 
2, 20.86463823291824, 20.86463823291824, 
2, 20.98613104430452, 20.98613104430452, 
2, 20.521417378915004, 20.521417378915004, 
2, 20.441129494597313, 20.441129494597313, 
2, 20.85914825828063, 20.85914825828063, 
2, 20.573885067267057, 20.573885067267057, 
2, 21.595359352143188, 21.595359352143188, 
2, 20.66789913603803, 20.66789913603803, 
2, 20.097118813068107, 20.097118813068107, 
2, 20.551157095195137, 20.551157095195137, 
2, 20.929986696399553, 20.929986696399553, 
2, 20.882934226323364, 20.882934226323364, 
2, 21.10337809488146, 21.10337809488146, 
2, 21.140919484630793, 21.140919484630793, 
2, 21.14515013069444, 21.14515013069444, 
2, 20.663609983020898, 20.663609983020898, 
2, 20.638224738315152, 20.638224738315152, 
2, 20.825800055690152, 20.825800055690152, 
2, 20.352060520159903, 20.352060520159903, 
2, 21.144945541854256, 21.144945541854256, 
2, 20.6017854296051, 20.6017854296051, 
2, 21.176268110322198, 21.176268110322198, 
2, 20.967803131212683, 20.967803131212683, 
2, 21.41469952893499, 21.41469952893499, 
2, 21.008685582514712, 21.008685582514712, 
2, 20.999133053595052, 20.999133053595052, 
2, 20.700145320601443, 20.700145320601443, 
2, 21.42391359304954, 21.42391359304954, 
2, 21.03303207708141, 21.03303207708141, 
2, 20.806355275283174, 20.806355275283174, 
2, 21.50277011008143, 21.50277011008143, 
2, 20.45498147854616, 20.45498147854616, 
2, 21.12370877647934, 21.12370877647934, 
2, 21.604169917604096, 21.604169917604096, 
2, 21.100539125952004, 21.100539125952004, 
2, 21.370392569415806, 21.370392569415806, 
2, 21.189984345161136, 21.189984345161136, 
2, 21.002522649936353, 21.002522649936353, 
2, 21.08544543363838, 21.08544543363838, 
2, 21.666517457719255, 21.666517457719255, 
2, 20.85743269610426, 20.85743269610426, 
2, 21.644818404192797, 21.644818404192797, 
2, 21.58259596065364, 21.58259596065364, 
2, 21.34069385980662, 21.34069385980662, 
2, 20.325059086660794, 20.325059086660794, 
2, 20.95798225128548, 20.95798225128548, 
2, 20.886619373054508, 20.886619373054508, 
2, 20.251402705833936, 20.251402705833936, 
2, 21.10737983244921, 21.10737983244921, 
2, 21.222833148838998, 21.222833148838998, 
2, 21.268367788112727, 21.268367788112727, 
2, 21.148839087462584, 21.148839087462584, 
2, 20.810211418047917, 20.810211418047917, 
2, 20.371613080186613, 20.371613080186613, 
2, 21.35193104903582, 21.35193104903582, 
2, 20.388233981246692, 20.388233981246692, 
2, 21.358909835160386, 21.358909835160386, 
2, 21.664768997223465, 21.664768997223465, 
2, 20.061963174307014, 20.061963174307014, 
2, 21.31851321210663, 21.31851321210663, 
2, 21.26031894505299, 21.26031894505299, 
2, 20.790697326149505, 20.790697326149505, 
2, 21.14132171180124, 21.14132171180124, 
3, 31.784941617673134, 31.784941617673134, 
3, 31.462429772312717, 31.462429772312717, 
3, 31.70937979765356, 31.70937979765356, 
3, 31.903360971676634, 31.903360971676634, 
3, 26.915060778426067, 26.915060778426067, 
3, 22.08299655696812, 22.08299655696812, 
3, 28.492614942830542, 28.492614942830542, 
3, 21.925554224939802, 21.925554224939802, 
3, 23.78273113166435, 23.78273113166435, 
3, 31.127085179838524, 31.127085179838524, 
3, 22.987887375742027, 22.987887375742027, 
3, 31.74612021561645, 31.74612021561645, 
3, 22.23894039321867, 22.23894039321867, 
3, 31.418049718649346, 31.418049718649346, 
3, 30.663834899431073, 30.663834899431073, 
3, 31.650669565990782, 31.650669565990782, 
3, 22.433309844864006, 22.433309844864006, 
3, 31.248028590242814, 31.248028590242814, 
3, 25.690491878283858, 25.690491878283858, 
3, 21.294220940294316, 21.294220940294316, 
3, 31.29067695759613, 31.29067695759613, 
3, 25.00888677887413, 25.00888677887413, 
3, 31.719068348130918, 31.719068348130918, 
3, 23.235027908230414, 23.235027908230414, 
3, 31.65702825009084, 31.65702825009084, 
3, 21.62910756624056, 21.62910756624056, 
3, 20.88941315721486, 20.88941315721486, 
3, 20.559993753494318, 20.559993753494318, 
3, 31.62803371302407, 31.62803371302407, 
3, 23.12399392582389, 23.12399392582389, 
3, 32.62264269127175, 32.62264269127175, 
3, 31.329011951828175, 31.329011951828175, 
3, 30.30644751243947, 30.30644751243947, 
3, 20.300253317602547, 20.300253317602547, 
3, 31.46578107041333, 31.46578107041333, 
3, 23.726134605281665, 23.726134605281665, 
3, 24.10822396390993, 24.10822396390993, 
3, 30.911124930806054, 30.911124930806054, 
3, 25.972931810641256, 25.972931810641256, 
3, 25.376764268065582, 25.376764268065582, 
3, 31.683680358201187, 31.683680358201187, 
3, 21.94481312883463, 21.94481312883463, 
3, 30.86271998191514, 30.86271998191514, 
3, 27.317818501570997, 27.317818501570997, 
3, 20.983383601713445, 20.983383601713445, 
3, 31.251210629072602, 31.251210629072602, 
3, 20.947256499776802, 20.947256499776802, 
3, 24.61226169647589, 24.61226169647589, 
3, 28.24371018964585, 28.24371018964585, 
3, 30.919054908179476, 30.919054908179476, 
3, 31.637797512800145, 31.637797512800145, 
3, 21.156677731440947, 21.156677731440947, 
3, 30.384555714471233, 30.384555714471233, 
3, 31.682640595511423, 31.682640595511423, 
3, 31.0376277901552, 31.0376277901552, 
3, 23.343198814101882, 23.343198814101882, 
3, 31.151302834555167, 31.151302834555167, 
3, 23.99581280932943, 23.99581280932943, 
3, 31.704285349970156, 31.704285349970156, 
3, 31.3198908355739, 31.3198908355739, 
3, 22.695223443799033, 22.695223443799033, 
3, 31.386270924442854, 31.386270924442854, 
3, 26.092641413542516, 26.092641413542516, 
3, 20.955315862462903, 20.955315862462903, 
3, 31.461381379224825, 31.461381379224825, 
3, 28.812951922710305, 28.812951922710305, 
3, 31.44623860641532, 31.44623860641532, 
3, 30.51412386419687, 30.51412386419687, 
3, 31.57943931976527, 31.57943931976527, 
3, 31.42640422010631, 31.42640422010631, 
3, 21.228580324015265, 21.228580324015265, 
3, 31.52906966474995, 31.52906966474995, 
3, 22.8009681896349, 22.8009681896349, 
3, 31.521067871947956, 31.521067871947956, 
3, 21.557677789882447, 21.557677789882447, 
3, 28.471645517004518, 28.471645517004518, 
3, 25.53953316898807, 25.53953316898807, 
3, 28.033473497949302, 28.033473497949302, 
3, 25.360273656136236, 25.360273656136236, 
3, 31.737626306037388, 31.737626306037388, 
3, 31.68459894115304, 31.68459894115304, 
3, 21.30765099826596, 21.30765099826596, 
3, 30.691993991202057, 30.691993991202057, 
3, 24.149342413113608, 24.149342413113608, 
3, 21.870161921550654, 21.870161921550654, 
3, 21.311977153216127, 21.311977153216127, 
