MILP, Buffered, Tercio
2, 20.809607306686733, 20.80960730668677, 20.80960730668677
2, 21.658260345458984, 21.658260445385686, 21.658260445385686
2, 20.167837259550137, 20.167837259550183, 20.167837259550183
2, 20.64530229803467, 20.6453022980347, 20.6453022980347
2, 20.432606410741656, 20.432606410741656, 20.432606410741656
2, 21.377906668322296, 21.377906668322296, 21.377906668322296
2, 21.134621409118214, 21.134621409118232, 21.134621409118232
2, 20.37265014643148, 20.37265014643148, 20.37265014643148
2, 20.98908792430491, 20.989087924304933, 20.989087924304933
2, 21.145063011216667, 21.145063011216703, 21.145063011216703
2, 20.945236321787572, 20.945236321787604, 20.945236321787604
2, 20.384012634003625, 20.384012634003625, 20.384012634003625
2, 20.85479273149243, 20.854792731492452, 20.854792731492452
2, 20.254598628557364, 20.25459862855739, 20.25459862855739
2, 21.30888889273345, 21.30888889273345, 21.30888889273345
2, 20.948352099227534, 20.948352099227534, 20.948352099227534
2, 20.51604597549249, 20.51604597549249, 20.51604597549249
2, 21.202276542922874, 21.20227654292288, 21.20227654292288
2, 21.117462551436343, 21.117462551436383, 21.117462551436383
2, 21.12020345557366, 21.12020345557366, 21.12020345557366
2, 20.863289981639806, 20.863289981639827, 20.863289981639827
2, 21.292853173342078, 21.292853173342124, 21.292853173342124
2, 20.252715306711625, 20.25271530671165, 20.25271530671165
2, 20.550713707637016, 20.550713707637073, 20.550713707637073
2, 20.487862214218353, 20.487862214218374, 20.487862214218374
2, 21.55239960398736, 21.55239960398739, 21.55239960398739
2, 20.95486283302307, 20.95486286465951, 20.95486286465951
2, 20.950119085851902, 20.950119085851938, 20.950119085851938
2, 20.9535474907265, 20.95354749072653, 20.95354749072653
2, 20.90955624635358, 20.90955624635362, 20.90955624635362
2, 20.89512304437015, 20.895123044370173, 20.895123044370173
2, 20.862617656657754, 20.86261765665778, 20.86261765665778
2, 20.662034538646076, 20.662034538646076, 20.662034538646076
2, 20.67424143162618, 20.67424143162618, 20.67424143162618
2, 21.466675681977485, 21.46667568197752, 21.46667568197752
2, 20.868194819075704, 20.868194819075732, 20.868194819075732
2, 20.95368820829299, 20.95368820829299, 20.95368820829299
2, 21.397378354977278, 21.397378354977278, 21.397378354977278
2, 21.122553163720063, 21.12255316372009, 21.12255316372009
2, 21.502082323477996, 21.502082323478017, 21.502082323478017
2, 20.27008054799518, 20.2700805479952, 20.2700805479952
2, 20.97991466189931, 20.97991466189934, 20.97991466189934
2, 20.336123882311107, 20.336123882311107, 20.336123882311107
2, 21.16690876199808, 21.16690876199808, 21.16690876199808
2, 21.53923224945258, 21.53923224945263, 21.53923224945263
2, 21.905069082085735, 21.905069082085774, 21.905069082085774
2, 21.326019010271153, 21.326019010271175, 21.326019010271175
2, 21.6463302299241, 21.64633022992412, 21.64633022992412
2, 20.738538614168046, 20.73853861416812, 20.73853861416812
2, 21.41250967979431, 21.41250973291276, 21.41250973291276
2, 21.000407416361156, 21.000407416361156, 21.000407416361156
2, 20.792550976201714, 20.79255097620174, 20.79255097620174
2, 20.46720539876422, 20.46720539876422, 20.46720539876422
2, 20.24995712422329, 20.249957124223315, 20.249957124223315
2, 21.666675618758237, 21.666675618758262, 21.666675618758262
