ExhaustiveStarScheduler, TercioScheduler, 
0 20.88566039312987
1 20.88566039312987
2 20.88566039312987
3 20.88566039312987
4 20.88566039312987
5 20.88566039312987
6 20.88566039312987
7 20.88566039312987
8 20.88566039312987
9 20.88566039312987
2, 20.88566039312987, 20.88566039312987, 
0 20.515028264453775
1 20.515028264453775
2 20.515028264453775
3 20.515028264453775
4 20.515028264453775
5 20.515028264453775
6 20.515028264453775
7 20.515028264453775
8 20.515028264453775
9 20.515028264453775
2, 20.515028264453775, 20.515028264453775, 
0 20.58111143145932
1 20.58111143145932
2 20.58111143145932
3 20.58111143145932
4 20.58111143145932
5 20.58111143145932
6 20.58111143145932
7 20.58111143145932
8 20.58111143145932
9 20.58111143145932
2, 20.58111143145932, 20.58111143145932, 
0 20.294448719032765
1 20.294448719032765
2 20.294448719032765
3 20.294448719032765
4 20.294448719032765
5 20.294448719032765
6 20.294448719032765
7 20.294448719032765
8 20.294448719032765
9 20.294448719032765
2, 20.294448719032765, 20.294448719032765, 
0 20.980795695876417
1 20.980795695876417
2 20.980795695876417
3 20.980795695876417
4 20.980795695876417
5 20.980795695876417
6 20.980795695876417
7 20.980795695876417
8 20.980795695876417
9 20.980795695876417
2, 20.980795695876417, 20.980795695876417, 
0 20.99464370137531
1 20.99464370137531
2 20.99464370137531
3 20.99464370137531
4 20.99464370137531
5 20.99464370137531
6 20.99464370137531
7 20.99464370137531
8 20.99464370137531
9 20.99464370137531
2, 20.99464370137531, 20.99464370137531, 
0 20.95168139076854
1 20.95168139076854
2 20.95168139076854
3 20.95168139076854
4 20.95168139076854
5 20.95168139076854
6 20.95168139076854
7 20.95168139076854
8 20.95168139076854
9 20.95168139076854
2, 20.95168139076854, 20.95168139076854, 
0 20.177646514624893
1 20.177646514624893
2 20.177646514624893
3 20.177646514624893
4 20.177646514624893
5 20.177646514624893
6 20.177646514624893
7 20.177646514624893
8 20.177646514624893
9 20.177646514624893
2, 20.177646514624893, 20.177646514624893, 
0 21.28328746592449
1 21.28328746592449
2 21.28328746592449
3 21.28328746592449
4 21.28328746592449
5 21.28328746592449
6 21.28328746592449
7 21.28328746592449
8 21.28328746592449
9 21.28328746592449
2, 21.28328746592449, 21.28328746592449, 
0 20.349982792088277
1 20.349982792088277
2 20.349982792088277
3 20.349982792088277
4 20.349982792088277
5 20.349982792088277
6 20.349982792088277
7 20.349982792088277
8 20.349982792088277
9 20.349982792088277
2, 20.349982792088277, 20.349982792088277, 
0 20.87625628117763
1 20.87625628117763
2 20.87625628117763
3 20.87625628117763
4 20.87625628117763
5 20.87625628117763
6 20.87625628117763
7 20.87625628117763
8 20.87625628117763
9 20.87625628117763
2, 20.87625628117763, 20.87625628117763, 
0 20.967001327543667
1 20.967001327543667
2 20.967001327543667
3 20.967001327543667
4 20.967001327543667
5 20.967001327543667
6 20.967001327543667
7 20.967001327543667
8 20.967001327543667
9 20.967001327543667
2, 20.967001327543667, 20.967001327543667, 
0 20.3627482527832
1 20.3627482527832
2 20.3627482527832
3 20.3627482527832
4 20.3627482527832
5 20.3627482527832
6 20.3627482527832
7 20.3627482527832
8 20.3627482527832
9 20.3627482527832
2, 20.3627482527832, 20.3627482527832, 
0 20.6114286898152
1 20.6114286898152
2 20.6114286898152
3 20.6114286898152
4 20.6114286898152
5 20.6114286898152
6 20.6114286898152
7 20.6114286898152
8 20.6114286898152
9 20.6114286898152
2, 20.6114286898152, 20.6114286898152, 
0 20.57499107902355
1 20.57499107902355
2 20.57499107902355
3 20.57499107902355
4 20.57499107902355
5 20.57499107902355
6 20.57499107902355
7 20.57499107902355
8 20.57499107902355
9 20.57499107902355
2, 20.57499107902355, 20.57499107902355, 
0 20.36250058704249
1 20.36250058704249
2 20.36250058704249
3 20.36250058704249
4 20.36250058704249
5 20.36250058704249
6 20.36250058704249
7 20.36250058704249
8 20.36250058704249
9 20.36250058704249
2, 20.36250058704249, 20.36250058704249, 
0 20.44075371979931
1 20.44075371979931
2 20.44075371979931
3 20.44075371979931
4 20.44075371979931
5 20.44075371979931
6 20.44075371979931
7 20.44075371979931
8 20.44075371979931
9 20.44075371979931
2, 20.44075371979931, 20.44075371979931, 
0 21.0632498991224
1 21.0632498991224
2 21.0632498991224
3 21.0632498991224
4 21.0632498991224
5 21.0632498991224
6 21.0632498991224
7 21.0632498991224
8 21.0632498991224
9 21.0632498991224
2, 21.0632498991224, 21.0632498991224, 
0 20.499607928207396
1 20.499607928207396
2 20.499607928207396
3 20.499607928207396
4 20.499607928207396
5 20.499607928207396
6 20.499607928207396
7 20.499607928207396
8 20.499607928207396
9 20.499607928207396
2, 20.499607928207396, 20.499607928207396, 
0 21.589235995878717
1 21.589235995878717
2 21.589235995878717
3 21.589235995878717
4 21.589235995878717
5 21.589235995878717
6 21.589235995878717
7 21.589235995878717
8 21.589235995878717
9 21.589235995878717
2, 21.589235995878717, 21.589235995878717, 
0 20.938342934843906
1 20.938342934843906
2 20.938342934843906
3 20.938342934843906
4 20.938342934843906
5 20.938342934843906
6 20.938342934843906
7 20.938342934843906
8 20.938342934843906
9 20.938342934843906
2, 20.938342934843906, 20.938342934843906, 
0 20.94444195361306
1 20.94444195361306
2 20.94444195361306
3 20.94444195361306
4 20.94444195361306
5 20.94444195361306
6 20.94444195361306
7 20.94444195361306
8 20.94444195361306
9 20.94444195361306
2, 20.94444195361306, 20.94444195361306, 
0 20.915195422879734
1 20.915195422879734
2 20.915195422879734
3 20.915195422879734
4 20.915195422879734
5 20.915195422879734
6 20.915195422879734
7 20.915195422879734
8 20.915195422879734
9 20.915195422879734
2, 20.915195422879734, 20.915195422879734, 
0 21.073509183658167
1 21.073509183658167
2 21.073509183658167
3 21.073509183658167
4 21.073509183658167
5 21.073509183658167
6 21.073509183658167
7 21.073509183658167
8 21.073509183658167
9 21.073509183658167
2, 21.073509183658167, 21.073509183658167, 
0 20.804910629849335
1 20.804910629849335
2 20.804910629849335
3 20.804910629849335
4 20.804910629849335
5 20.804910629849335
6 20.804910629849335
7 20.804910629849335
8 20.804910629849335
9 20.804910629849335
2, 20.804910629849335, 20.804910629849335, 
0 21.250812041478024
1 21.250812041478024
2 21.250812041478024
3 21.250812041478024
4 21.250812041478024
5 21.250812041478024
6 21.250812041478024
7 21.250812041478024
8 21.250812041478024
9 21.250812041478024
2, 21.250812041478024, 21.250812041478024, 
0 20.59465988703267
1 20.59465988703267
2 20.59465988703267
3 20.59465988703267
4 20.59465988703267
5 20.59465988703267
6 20.59465988703267
7 20.59465988703267
8 20.59465988703267
9 20.59465988703267
2, 20.59465988703267, 20.59465988703267, 
0 20.975103934396014
1 20.975103934396014
2 20.975103934396014
3 20.975103934396014
4 20.975103934396014
5 20.975103934396014
6 20.975103934396014
7 20.975103934396014
8 20.975103934396014
9 20.975103934396014
2, 20.975103934396014, 20.975103934396014, 
