MILPScheduler, ExhaustiveStarScheduler, TercioScheduler, 
2, 20.141883485369153, 20.141883485369153, 20.141883485369153, 
2, 21.227638370271833, 21.227638370271833, 21.227638370271833, 
2, 20.394704819307023, 20.394704819307023, 20.394704819307023, 
2, 20.72392606717451, 20.72392606717451, 20.72392606717451, 
2, 21.059331330744648, 21.059331330744648, 21.059331330744648, 
2, 21.378062820420276, 21.378062820420276, 21.378062820420276, 
2, 20.16088382098274, 20.16088382098274, 20.16088382098274, 
2, 21.194025201816128, 21.194025201816128, 21.194025201816128, 
2, 21.040576130751674, 21.040576130751674, 21.040576130751674, 
2, 21.13892428962315, 21.13892428962315, 21.13892428962315, 
2, 20.553875130944043, 20.553875130944043, 20.553875130944043, 
2, 20.16495744948355, 20.16495744948355, 20.16495744948355, 
2, 20.540751584261322, 20.540751584261322, 20.540751584261322, 
2, 20.45372261556297, 20.45372261556297, 20.45372261556297, 
2, 20.725059286341622, 20.725059286341622, 20.725059286341622, 
2, 20.22209104280399, 20.22209104280399, 20.22209104280399, 
2, 21.363766074720374, 21.363766074720374, 21.363766074720374, 
2, 21.037452212115298, 21.037452212115298, 21.037452212115298, 
2, 21.06024709762617, 21.06024709762617, 21.06024709762617, 
2, 21.745018685644965, 21.745018685644965, 21.745018685644965, 
2, 21.74164090885597, 21.74164090885597, 21.74164090885597, 
2, 21.436084602871524, 21.436084602871524, 21.436084602871524, 
2, 20.800267867188918, 20.800267867188918, 20.800267867188918, 
2, 20.498483800814437, 20.498483800814437, 20.498483800814437, 
2, 21.39911122776909, 21.39911122776909, 21.39911122776909, 
2, 20.714390087063123, 20.714390087063123, 20.714390087063123, 
2, 20.94136031450944, 20.94136031450944, 20.94136031450944, 
2, 21.72837308868295, 21.72837308868295, 21.72837308868295, 
2, 20.704016756993695, 20.704016756993695, 20.704016756993695, 
2, 21.132231195811556, 21.132231195811556, 21.132231195811556, 
2, 20.635562823300624, 20.635562823300624, 20.635562823300624, 
2, 21.385313805602877, 21.385313805602877, 21.385313805602877, 
2, 20.73262541463845, 20.73262541463845, 20.73262541463845, 
2, 20.475555366294103, 20.475555366294103, 20.475555366294103, 
2, 21.091104426261126, 21.091104426261126, 21.091104426261126, 
2, 20.969701011996108, 20.969701011996108, 20.969701011996108, 
2, 21.345358884414054, 21.345358884414054, 21.345358884414054, 
2, 21.4904801494595, 21.4904801494595, 21.4904801494595, 
