MILP, Buffered, Tercio, Search
2, 21.244329156382832, 21.24432915638286, 21.24432915638286, 21.24432915638286
2, 20.25428533835654, 20.254285338356564, 20.254285338356564, 20.254285338356564
2, 21.07185118786234, 21.071851187862368, 21.071851187862368, 21.071851187862368
2, 21.339814635207787, 21.339814635207787, 21.339814635207787, 21.339814635207787
2, 21.234115648444316, 21.234115648444316, 21.234115648444316, 21.234115648444316
2, 21.07607759582377, 21.076077595823804, 21.076077595823804, 21.076077595823804
2, 20.46200145395845, 20.46200145395845, 20.46200145395845, 20.46200145395845
2, 21.166033304022744, 21.166033304022783, 21.166033304022783, 21.166033304022783
2, 20.78469173167018, 20.784691731670218, 20.784691731670218, 20.784691731670218
2, 21.001153469085693, 21.00115357001029, 21.00115357001029, 21.00115357001029
2, 20.851541104286035, 20.851541104286056, 20.851541104286056, 20.851541104286056
2, 21.282347550860823, 21.282347550860855, 21.282347550860855, 21.282347550860855
2, 20.787073294705905, 20.787073294705905, 20.787073294705905, 20.787073294705905
2, 21.050024306401998, 21.05002430640202, 21.05002430640202, 21.05002430640202
2, 20.30037825463844, 20.300378254638474, 20.300378254638474, 20.300378254638474
2, 20.718117133893273, 20.718117133893273, 20.718117133893273, 20.718117133893273
2, 20.57800570646027, 20.5780057064603, 20.5780057064603, 20.5780057064603
2, 20.506839554866502, 20.506839554866524, 20.506839554866524, 20.506839554866524
2, 21.20834934442291, 21.20834934442291, 21.20834934442291, 21.20834934442291
2, 20.703911776311486, 20.703911776311507, 20.703911776311507, 20.703911776311507
2, 21.61118432186721, 21.61118432186726, 21.61118432186726, 21.61118432186726
2, 20.416759455115194, 20.41675945511522, 20.41675945511522, 20.41675945511522
2, 21.119957538157628, 21.11995753815765, 21.11995753815765, 21.11995753815765
2, 21.196901869820252, 21.196901869820277, 21.196901869820277, 21.196901869820277
2, 21.214427761933184, 21.214427761933216, 21.214427761933216, 21.214427761933216
2, 21.172307276590317, 21.172307276590345, 21.172307276590345, 21.172307276590345
2, 20.74459435601757, 20.744594356017593, 20.744594356017593, 20.744594356017593
2, 20.90624911107531, 20.906249111075354, 20.906249111075354, 20.906249111075354
2, 20.571134417567436, 20.571134417567436, 20.571134417567436, 20.571134417567436
2, 20.909818114716874, 20.9098181147169, 20.9098181147169, 20.9098181147169
2, 20.563483702165243, 20.563483702165264, 20.563483702165264, 20.563483702165264
2, 20.818497041263768, 20.818497041263807, 20.818497041263807, 20.818497041263807
2, 20.287623374451314, 20.28762337445133, 20.28762337445133, 20.28762337445133
2, 21.23279795839902, 21.232797958399022, 21.232797958399022, 21.232797958399022
2, 20.619899462111853, 20.619899462111853, 20.619899462111853, 20.619899462111853
2, 20.222961771948746, 20.222961771948782, 20.222961771948782, 20.222961771948782
2, 20.25438680705513, 20.25438680705513, 20.25438680705513, 20.25438680705513
2, 20.49772064322633, 20.49772064322633, 20.49772064322633, 20.49772064322633
2, 20.419555951027796, 20.419555951027824, 20.419555951027824, 20.419555951027824
2, 21.23712250974861, 21.23712250974861, 21.23712250974861, 21.23712250974861
2, 20.41812910103625, 20.418129101036264, 20.418129101036264, 20.418129101036264
2, 20.589418469285217, 20.589418469285242, 20.589418469285242, 20.589418469285242
2, 20.929485428174225, 20.929485428174253, 20.929485428174253, 20.929485428174253
2, 20.828309059143066, 20.828309151463046, 20.828309151463046, 20.828309151463046
2, 20.88520779418393, 20.885207794183984, 20.885207794183984, 20.885207794183984
2, 21.02748740816119, 21.02748740816121, 21.02748740816121, 21.02748740816121
2, 20.832273650789222, 20.832273650789247, 20.832273650789247, 20.832273650789247
2, 21.357608521949565, 21.357608521949587, 21.357608521949587, 21.357608521949587
2, 21.41289740220047, 21.412897402200507, 21.412897402200507, 21.412897402200507
2, 20.586604752444035, 20.586604752444064, 20.586604752444064, 20.586604752444064
2, 21.179923526377898, 21.179923526377916, 21.179923526377916, 21.179923526377916
2, 21.159956878008444, 21.159956878008444, 21.159956878008444, 21.159956878008444
2, 20.059780146408407, 20.059780146408436, 20.059780146408436, 20.059780146408436
2, 20.882065737206535, 20.88206573720659, 20.88206573720659, 20.88206573720659
