MILP, Tercio, Search
4, 2.5036055365526595, 2.5036055369030206, 2.5036055369030206
4, 6.436155646704409, 6.436155646704409, 6.436155646704409
4, 3.649606227874756, 3.649606265251413, 3.649606265251413
4, 6.332067708974209, 6.332067708974215, 6.332067708974215
4, 6.059784485842777, 6.0597844858445935, 6.0597844858445935
4, 7.008170346131084, 7.008170346131093, 7.008170346131093
4, 5.860848398055457, 6.636648069354322, 5.860848398055457
4, 3.805515488439094, 3.805515488439094, 3.805515488439094
4, 7.568108072196871, 7.568108072196898, 7.568108072196898
4, 4.258440506260397, 4.2584405062604, 4.2584405062604
4, 6.530079987158512, 6.530079987158519, 6.530079987158519
4, 8.435128281437235, 8.435128281437235, 8.435128281437235
4, 4.769161668693902, 4.769161668693922, 4.769161668693922
4, 3.40299144041363, 3.40299144041363, 3.40299144041363
4, 6.867340875663589, 6.867340875663625, 6.867340875663625
4, 3.889641924250346, 3.8896419242514866, 3.8896419242514866
4, 3.5986726522282004, 3.5986726522286605, 3.5986726522286605
4, 4.853021860122681, 4.8530219746878, 4.8530219746878
4, 6.3477852625176725, 6.34778526251769, 6.34778526251769
4, 3.38662891264907, 3.38662891264907, 3.38662891264907
4, 3.5089711761851516, 3.508971176185155, 3.508971176185155
4, 7.884072321575079, 9.527449416138502, 7.884072321575149
4, 2.130787563409187, 2.1307875634092084, 2.1307875634092084
4, 4.552649391257041, 4.552649391257061, 4.552649391257061
4, 2.547985491385272, 2.547985491385272, 2.547985491385272
4, 3.036542690261663, 3.0365426902616672, 3.0365426902616672
4, 5.403370885033679, 5.403370885033708, 5.403370885033708
4, 2.1772848895440022, 2.1772848895440022, 2.1772848895440022
4, 5.600621003829209, 5.600621003829209, 5.600621003829209
4, 6.268785018985978, 6.268785018986019, 6.268785018986019
4, 3.355480123856422, 3.35548012385713, 3.35548012385713
4, 4.212354784077087, 5.922634971019789, 4.212354784077087
4, 3.7058630055284474, 3.70586300552845, 3.70586300552845
4, 4.981673092747312, 4.981673092747313, 4.981673092747313
4, 5.581358954601068, 5.581358954601072, 5.581358954601072
4, 7.414446035940231, 7.41444603594024, 7.41444603594024
4, 5.7460926710194595, 6.222188095436108, 5.7460926710194595
4, 4.687540204172504, 4.6875402041725325, 4.6875402041725325
4, 4.555142202237212, 4.555142202237212, 4.555142202237212
4, 3.7616379904484485, 3.7616379904485258, 3.7616379904485258
4, 3.8536300754943325, 3.8536300754943595, 3.8536300754943595
4, 4.110174273280988, 4.110174273280988, 4.110174273280988
4, 7.998917159059518, 7.998917159059518, 7.998917159059518
4, 4.654956570400321, 4.654956570400321, 4.654956570400321
4, 3.919359712009123, 5.340301898051619, 3.919359712009941
4, 3.979249096559289, 3.9792490965592906, 3.9792490965592906
4, 3.450057786459139, 3.4500577864591584, 3.4500577864591584
4, 3.3736650838464763, 3.3736650838464763, 3.3736650838464763
4, 4.211690230148023, 4.211690230148047, 4.211690230148047
4, 6.60860698144117, 8.099811760169512, 6.608606981441185
4, 3.790525900509807, 3.7905259005100875, 3.7905259005100875
4, 2.838675307390913, 2.838675307390913, 2.838675307390913
4, 3.9978282875391544, 3.9978282875391624, 3.9978282875391624
4, 3.5535137082038646, 3.5535137082038797, 3.5535137082038797
4, 2.033496131971014, 2.0334961319721647, 2.0334961319721647
4, 4.128493148711696, 4.128493148711698, 4.128493148711698
4, 6.005186611758135, 6.0051866117581385, 6.0051866117581385
4, 6.9200827140808325, 6.920082714080906, 6.920082714080906
4, 3.487344980239868, 3.4873450435612865, 3.4873450435612865
4, 3.006743743673903, 3.0067437436739155, 3.0067437436739155
4, 6.128547028240099, 6.1285470282400984, 6.1285470282400984
4, 2.9257569313049316, 2.9257569798517675, 2.9257569798517675
4, 8.315836074963535, 12.01444425710525, 8.315836074963535
4, 5.380146902122265, 5.380146902122265, 5.380146902122265
4, 2.942028497756819, 2.942028497756819, 2.942028497756819
4, 4.377739481408855, 4.377739481408864, 4.377739481408864
4, 4.795956222858955, 4.795956222858955, 4.795956222858955
4, 4.887430139369102, 4.8874301393691155, 4.8874301393691155
4, 3.2686052322387695, 3.2686052707452875, 3.268605270745287
4, 2.5470209289946832, 2.5470209289946832, 2.5470209289946832
4, 3.2307143381130192, 3.2307143381156442, 3.2307143381156442
4, 7.990628979987865, 7.990628979987865, 7.990628979987865
4, 4.7208163526414495, 4.720816352642729, 4.720816352642729
4, 6.288168398557338, 6.288168398557351, 6.288168398557351
4, 4.066422568802503, 4.066422568802503, 4.066422568802503
4, 7.871304806113342, 7.8713048061133755, 7.8713048061133755
4, 4.563885839797379, 4.5638858397974005, 4.5638858397974005
4, 3.8339157009082387, 3.8339157009082445, 3.8339157009082445
4, 6.1328487880634945, 6.1328487880634945, 6.1328487880634945
4, 3.758109494997778, 3.7581094949977847, 3.7581094949977847
4, 5.53940224647522, 5.539402350976449, 5.539402350976449
4, 6.305778269186825, 6.305778269186866, 6.305778269186866
4, 6.499227976358961, 6.499227976358975, 6.499227976358975
4, 3.7255727186397443, 3.7255727186397603, 3.7255727186397603
4, 2.7711347852988917, 2.771134785298894, 2.771134785298894
4, 6.159601211547852, 6.159601219445982, 6.159601219445982
4, 4.765037101583295, 4.765037101583296, 4.765037101583296
4, 5.042327074057144, 5.042327074057146, 5.042327074057146
4, 5.38008424535018, 5.38008424535018, 5.38008424535018
4, 3.3663224166964323, 3.3663224166964323, 3.3663224166964323
4, 4.577439069747925, 4.5774391593204395, 4.5774391593204395
4, 3.2723057007786607, 3.2723057007786664, 3.2723057007786664
4, 4.261012036032889, 4.2610120360328985, 4.2610120360328985
4, 4.236178412904513, 4.236178412904513, 4.236178412904513
4, 3.25618577003479, 3.256185796033224, 3.256185796033224
4, 6.55046360810596, 6.550463608105968, 6.550463608105968
4, 4.884831902875354, 4.884831902875369, 4.884831902875369
4, 5.237548387347864, 5.237548387349489, 5.237548387349489
4, 7.787979693106716, 7.787979693106723, 7.787979693106723
4, 3.676856033422515, 3.6768560334225233, 3.6768560334225233
5, 3.3922049004530144, 3.3922049004530144, 3.3922049004530144
5, 3.0282925020495117, 3.0282925020495117, 3.0282925020495117
5, 4.671700100572153, 4.671700100572187, 4.671700100572187
5, 3.521593138008481, 4.107309844568844, 4.107309844568844
5, 3.6329090784046087, 3.6329090784046176, 3.6329090784046176
5, 11.217822054676532, 11.21782205467668, 11.21782205467668
5, 5.38358295339595, 5.38358295339599, 5.38358295339599
5, 3.3778365613800245, 4.317122882535136, 3.3778365613800263
5, 11.394184114020284, 11.394184114020284, 11.394184114020284
5, 10.749235785666977, 10.749235785667041, 10.749235785667041
5, 7.316349177390732, 7.316349177390706, 7.316349177390706
5, 4.512236979094503, 4.512236979094541, 4.512236979094541
5, 6.891371316221597, 6.8913713162216625, 6.8913713162216625
5, 3.4218260647335734, 3.421826064735875, 3.421826064735875
5, 5.960326283029119, 5.960326283029126, 5.960326283029126
5, 5.355253724118944, 5.355253724118975, 5.355253724118975
5, 6.177330617190485, 6.177330617190485, 6.177330617190485
5, 5.230387643573879, 5.230387643573879, 5.230387643573879
5, 4.406877969977435, 4.406877969977435, 4.406877969977435
5, 3.324828246096586, 3.3248282460965948, 3.3248282460965948
5, 2.7158618623972544, 3.1379760684133267, 2.7158618623972544
5, 5.126165074715562, 5.126165074715562, 5.126165074715562
5, 3.8885661024098166, 3.888566102409849, 3.888566102409849
5, 4.275213950518117, 4.27521395051817, 4.27521395051817
5, 5.153514270852896, 5.153514270854041, 5.153514270854041
5, 7.208044031406377, 7.208044031406441, 7.208044031406441
5, 3.901182489743235, 3.901182489743262, 3.901182489743262
5, 6.848527650446753, 6.8485276504467905, 6.8485276504467905
5, 8.184024253410724, 8.184024253410724, 8.184024253410723
5, 3.4814166016256296, 3.4814166016256296, 3.4814166016256296
5, 6.2575265439489876, 6.257526543949002, 6.257526543949002
5, 7.705359427582303, 7.705359427582303, 7.705359427582303
5, 4.293834053687008, 4.293834053687038, 4.293834053687038
5, 5.7247376443989, 5.724737644398945, 5.724737644398945
5, 3.992830360233432, 3.9928303602334507, 3.9928303602334507
5, 4.905962265486504, 4.905962265486518, 4.905962265486518
5, 5.053816753829416, 6.651262403960309, 5.0538167538349095
5, 3.9886104423748145, 7.399449814610543, 3.988610442374826
5, 2.831751537746905, 2.831751537746905, 2.831751537746905
5, 4.211780400261182, 4.211780400261182, 4.211780400261182
5, 6.283720729205597, 6.2837207292056005, 6.2837207292056005
5, 7.573954031297679, 7.573954031297804, 7.573954031297804
5, 7.641455056904512, 7.641455056904817, 7.641455056904817
5, 3.3976168747923325, 3.397616874792344, 3.397616874792344
5, 3.5633474507021186, 3.5633474507021186, 3.5633474507021186
5, 5.694678114754213, 5.6946781147542165, 5.6946781147542165
5, 9.224704068486854, 9.22470406848698, 9.224704068486979
5, 8.047880265973252, 10.52157889246487, 8.047880265973971
5, 4.5258567333221436, 5.242122139120598, 4.525856751135974
5, 3.3977712269974347, 3.3977712269974347, 3.3977712269974347
5, 6.8632889846667045, 6.8632889846667045, 6.8632889846667045
5, 7.3923099232336185, 7.392309923233683, 7.392309923233683
5, 4.066259282481945, 4.066259282482227, 4.066259282482227
5, 5.554975738051635, 5.554975738051654, 5.554975738051654
5, 3.1398163262652306, 4.210609925519298, 3.1398163262668897
5, 4.572883784957202, 5.587251437888382, 4.5728837849572335
5, 5.857829816336125, 5.857829816342582, 5.857829816342581
5, 5.292358556657274, 5.9695347867414, 5.292358556660659
5, 3.525833509984705, 3.525833509984707, 3.525833509984707
5, 4.161032994442288, 4.161032994442319, 4.161032994442319
