MILP, Tercio, Search
4, 3.1910266014217026, 3.1910266014217044, 3.1910266014217044
4, 5.486306661988333, 5.486306661988353, 5.486306661988353
4, 3.786261639744558, 5.741755982281789, 3.7862616397447963
4, 3.1380605697631836, 3.138060658627958, 3.138060658627958
4, 3.971945137152266, 3.971945137152266, 3.971945137152266
4, 6.346742617172594, 6.346742617172594, 6.346742617172594
4, 4.690926590564436, 5.411149867622173, 4.6909265905643895
4, 10.267040983984163, 10.267040983984163, 10.267040983984163
4, 6.740649600748613, 6.740649600748613, 6.740649600748613
4, 4.1846352086180705, 4.184635208618088, 4.184635208618088
4, 5.785292324482764, 5.785292324482764, 5.785292324482764
4, 6.481327286576941, 7.499077403711096, 6.48132728657699
4, 6.546954961869087, 6.546954961869129, 6.546954961869129
4, 5.955831380428185, 5.955831380428204, 5.955831380428204
4, 3.5561384591639227, 3.5561384591639227, 3.5561384591639227
4, 4.244190006446821, 4.244190006446823, 4.244190006446823
4, 6.484183050216905, 6.484183050216963, 6.484183050216963
4, 3.8608164618339815, 3.860816461833985, 3.8608164618339846
4, 2.7122116303619594, 2.712211630364721, 2.712211630364721
4, 9.650875976551443, 10.909575277612335, 9.650875976551468
4, 6.103085371486555, 6.103085372196866, 6.103085372196866
4, 3.275073487047012, 3.2750734870470324, 3.2750734870470324
4, 3.5503821630883206, 3.5503821630883383, 3.5503821630883383
4, 8.41115484150546, 8.411154841505473, 8.411154841505473
4, 5.653709415244023, 5.653709415244023, 5.653709415244023
4, 4.399123985229206, 4.399123985229206, 4.399123985229206
4, 2.5674623046991485, 2.5674623046991547, 2.5674623046991547
4, 6.168750933706713, 6.168750933706738, 6.168750933706738
4, 5.625969032629549, 5.625969032629575, 5.625969032629575
4, 4.754698228751943, 4.754698228751959, 4.754698228751959
4, 3.1003715080385925, 3.1003715080395056, 3.1003715080395056
4, 4.62346026364542, 6.748542618031799, 4.6234602636465265
4, 2.5439963538798183, 2.543996353879825, 2.543996353879825
4, 6.201972345395265, 6.201972345395266, 6.201972345395266
4, 3.0567692574582472, 3.056769257458249, 3.056769257458249
4, 2.3044654382257237, 2.3044654382257237, 2.3044654382257237
4, 8.951360391302366, 8.95136039130242, 8.95136039130242
4, 7.205002785143992, 7.205002785144021, 7.205002785144021
4, 6.545043562871067, 6.545043562871067, 6.545043562871067
4, 4.932294354747302, 4.932294354747329, 4.932294354747329
4, 4.323211552059593, 4.323211552059625, 4.323211552059625
4, 5.440392860397956, 5.440392860397956, 5.440392860397956
4, 2.4457449445161146, 2.4457449445161146, 2.4457449445161146
4, 3.9451921453719745, 3.9451921453719745, 3.9451921453719745
4, 4.959038090842943, 4.95903809084297, 4.95903809084297
4, 3.9070337017268177, 3.9070337017268164, 3.9070337017268164
4, 6.507245773080516, 6.507245773080587, 6.507245773080587
4, 2.21973605190228, 2.2197360519022915, 2.2197360519022915
4, 2.059030771255493, 2.0590308413120613, 2.0590308413120613
4, 7.856713513354171, 7.856713513354174, 7.856713513354174
4, 2.9329077746850274, 2.9329077746850487, 2.9329077746850487
4, 4.25674712935379, 4.256747129353803, 4.256747129353803
4, 7.749177430619525, 7.7491774306199375, 7.7491774306199375
4, 6.109759865903871, 6.109759865903905, 6.109759865903905
4, 3.3622780330493223, 3.3622780330493223, 3.3622780330493223
4, 4.179043769836426, 4.179043817223305, 4.179043817223305
4, 3.0879006052774782, 3.087900605277485, 3.087900605277485
4, 6.325470092508272, 6.325470092508346, 6.325470092508346
4, 3.204666275226461, 4.4557738013527395, 3.204666275226461
4, 3.469834804534912, 3.4698349192579503, 3.4698349192579503
4, 4.085197126229188, 4.0851971262292315, 4.0851971262292315
4, 3.0787251992816644, 3.0787251992816644, 3.0787251992816644
4, 2.107781171798706, 2.107781254370611, 2.107781254370611
4, 5.454569521067883, 5.45456952106798, 5.45456952106798
4, 3.822670253931427, 3.822670253931432, 3.822670253931432
4, 3.1815377344934634, 3.181537734493475, 3.181537734493475
4, 3.658730137663326, 3.6587301376633286, 3.6587301376633286
4, 3.7443591318780975, 5.733556970268819, 3.7443591318780975
4, 9.185319033290023, 9.185319033290021, 9.185319033290021
4, 4.678153094672337, 4.678153094672346, 4.678153094672346
4, 7.2647613768003, 7.264761376800334, 7.264761376800334
4, 3.8666224336023958, 3.8666224336024024, 3.8666224336024024
4, 4.77086270765227, 4.77086270765227, 4.77086270765227
4, 3.575374038629842, 4.308220795548393, 3.5753740392965145
4, 11.48604529941835, 11.48604529941835, 11.48604529941835
4, 5.730696977558816, 5.730696977558816, 5.730696977558816
4, 5.063316671422093, 5.063316671422117, 5.063316671422117
4, 8.103823245861522, 8.103823245861609, 8.103823245861609
4, 3.6611304452935474, 3.661130445293556, 3.661130445293556
4, 2.593073495834273, 2.593073495834273, 2.593073495834273
4, 4.807767007795519, 4.807767007795519, 4.807767007795519
4, 2.5127270221710205, 2.5127270231576553, 2.5127270231576553
4, 6.694173981537985, 6.694173981537964, 6.694173981537964
4, 6.3985466865179745, 6.3985466865179745, 6.3985466865179745
4, 3.7457609766974596, 3.7457609766983726, 3.7457609766983726
4, 3.9050881548052025, 3.905088155297274, 3.905088155297274
4, 2.4538822611002353, 2.4538822611002353, 2.4538822611002353
4, 10.699597076254625, 10.699597076254681, 10.699597076254681
4, 3.812152677932306, 3.812152677932306, 3.812152677932306
4, 2.1185369470740576, 2.1185369470740576, 2.1185369470740576
4, 3.783322732278469, 3.7833227322793714, 3.7833227322793714
4, 3.8316130481312123, 3.8316130481312123, 3.8316130481312123
4, 1.7223632035152758, 1.722363203515278, 1.722363203515278
4, 5.114245976497866, 5.114245976497866, 5.114245976497866
4, 6.297369529974652, 6.297369529974652, 6.297369529974652
4, 2.9047757935553866, 2.904775793556529, 2.904775793556529
4, 2.4063854726551965, 2.4063854726551983, 2.4063854726551983
4, 3.645154672679609, 3.645154672679614, 3.645154672679614
4, 7.7728419564681595, 7.7728419564682145, 7.7728419564682145
4, 6.475554321205642, 6.475554321205688, 6.475554321205688
5, 8.712663923229295, 14.070321764625497, 8.712663923229348
5, 4.540147788776428, 4.540147788776428, 4.540147788776428
5, 4.449183307346935, 4.44918330734694, 4.44918330734694
5, 3.271995856749778, 3.27199585674978, 3.27199585674978
5, 8.316465819904082, 8.316465819904371, 8.316465819904371
5, 3.2063402831227124, 3.2063402831227465, 3.2063402831227465
5, 3.811958589573827, 3.811958589574949, 3.811958589574949
5, 3.5013653098939437, 3.5013653098939455, 3.5013653098939455
5, 2.3994377522142813, 2.399437752214284, 2.399437752214284
5, 6.835969010632853, 6.835969010632853, 6.835969010632853
5, 4.962975684207411, 5.352054734511852, 4.96297568420811
5, 4.70860735467895, 4.708607354678946, 4.708607354678946
5, 6.660434126614272, 7.253139051132271, 6.660434126617425
5, 2.673909633861434, 2.6739096338614354, 2.6739096338614354
5, 6.78979914324592, 8.679127930359833, 6.78979914324592
5, 5.593760072972306, 6.494572004280662, 5.593760073631718
5, 4.448202166063155, 4.448202166063155, 4.448202166063155
5, 9.529403568704453, 13.888339931127401, 9.529403568706407
5, 5.798524027952851, 5.798524027952961, 5.798524027952961
5, 6.359528707077423, 6.3595287078134195, 6.359528707813419
5, 8.562939333059067, 8.562939333059548, 8.562939333059548
5, 6.105947465961901, 6.1059474659619415, 6.1059474659619415
5, 6.959752901556064, 6.959752901556068, 6.959752901556068
5, 3.8741651629115537, 3.8741651629115537, 3.8741651629115537
5, 3.353657400484409, 3.3536574004844004, 3.3536574004844004
5, 7.538589170796296, 7.538589170796296, 7.538589170796296
5, 5.0807901953000485, 5.080790195300051, 5.080790195300051
